0005,4.46
0016,6.37
0034,5.62
0035,4.03
0036,6.78
0038,9.22
0040,3.75
0041,4.29
0042,5.3
0045,4.44
0050,6.13
0079,2.51
0096,4.52
0106,11.24
0171,6
0172,3.74
0251,3.69
0401,7.73
1122,2.42
1320,1.25
1322,4.18
1330,2.47
1438,5.31
1452,2.16
1463,3.57
1624,3.26
1699,1.76
1701,3.48
1710,3.92
1741,4.06
1803,8.01
1925,12.42
2002,8.21
2003,5.34
2004,6.64
2014,5.34
2063,4.76
2081,8.7
2095,7.32
2102,5.06
2107,4.38
2108,4.51
2109,6.77
2111,5.61
2113,10.24
2116,5.09
2117,7.08
2121,2.82
2123,6.1
2142,2.75
2163,7.13
2222,6.3
2362,11.9
2402,9.14
2413,4.97
2501,5.43
2570,8.3
2571,9.69
2576,8.88
2584,5.17
2585,6.92
2589,4.33
2660,9.27
2683,4.96
2688,6.89
2702,18.65
2710,6.55
2727,18.16
2731,6.29
2757,8.03
2759,6.35
2790,2
2797,9.98
2806,6.12
2812,5.46
2819,5.77
2840,3.3
2842,5.61
2852,9.93
2881,9.08
2883,11.17
2915,4.82
2923,3.93
3018,2.21
3022,7.02
3030,7.82
3039,8.24
3040,5.77
3060,6.88
3066,4.86
3070,0.42
3076,5.17
3081,12.15
3082,12.67
3085,12.31
3099,3.61
3110,6.17
3131,4.18
3146,3.8
3152,3.86
3165,4.18
3169,4.45
3175,4.49
3178,2.03
3179,2.26
3180,4.83
3220,2.43
3241,4.29
3257,4.9
3339,5.47
3365,4.83
3372,5.23
3383,2.71
3400,6.72
3401,4.24
3501,5.88
3507,3.55
3560,2.81
3568,2.04
3569,2.09
3570,3.15
3572,0.8
3573,1.45
3574,2.22
3577,0.93
3612,2.84
3620,6.3
3632,2.65
3634,2.75
3643,1.67
3647,5.24
3651,2.98
3681,0.44
3682,1.15
3683,0.49
3719,1.58
3724,4.14
3726,2.02
3805,1.36
3808,4.6
3815,5.3
3821,6.98
3828,4.34
3830,1.86
3831,2.45
3840,4.93
4000,3.44
4034,5.68
4036,4.78
4038,7.45
4041,3.67
4049,3.88
4111,2.44
4112,0.32
4114,2.92
4130,6.67
4150,2.48
4239,3.77
4240,6.81
4243,3.89
4244,4.72
4250,3.94
4251,3.97
4279,6.18
4283,2.77
4286,6.9
4295,4.97
4297,0.23
4299,3.52
4304,4.32
4351,2.78
4354,2.27
4361,1.26
4362,0.96
4410,5.78
4420,8.55
4432,4.54
4470,2.73
4478,4.96
4492,5.83
4494,6.25
4495,3.47
4496,5.12
4497,4.8
4498,5.21
4499,5.45
4511,0.41
4512,0.14
4557,4.04
4558,2.52
4611,1.65
4623,5.57
4635,3.18
4665,7.56
4683,3.67
4691,1.75
4692,1.56
4720,4.19
4740,1.16
4771,1.14
4828,3.2
4829,1.94
4831,4.64
4983,4.5
5020,3.36
5027,7.97
5028,4.83
5029,5.93
5040,10.47
5102,5.65
5107,5.53
5108,6.97
5128,1.25
5129,0.4
5130,1.46
5140,1.94
5146,5.47
5160,1.49
5183,5.5
5184,2.34
5185,4.64
5186,2.07
5187,2.85
5190,3.86
5191,2.24
5192,4
5193,0.96
5195,2.68
5201,6.93
5205,4.63
5212,6.14
5213,5.58
5214,3.82
5222,5.4
5225,5.31
5348,4.75
5403,11.33
5432,5.42
5436,4.98
5443,5.17
5446,6.05
5447,2.82
5467,7.14
5470,2.82
5473,10.33
5474,8.49
5479,4.86
5482,4.58
5484,8.23
5485,5.87
5506,4.56
5507,3.29
5538,6.88
5542,3.28
5552,21.22
5553,13.6
5606,0.8
5610,3.29
5632,11.33
5633,5.42
5650,7.21
5951,0.47
6003,7.96
6011,2.64
6204,8.28
6206,3.09
6213,2.37
6216,3.27
6218,5.57
6220,3.19
6233,1.86
6235,4.03
6237,2.36
6251,4.32
6258,4.81
6307,6.89
6308,4.15
6315,4.9
6316,2.99
6325,3.98
6361,2.34
6364,4.97
6400,5.34
6504,7.06
6834,4.82
7133,1.9
7198,10.1
7207,10.02
7219,6.12
7227,7.76
7232,5.64
7248,1.69
7272,11.4
7332,3.67
7360,6.11
7365,7.45
7382,7.93
7392,6.33
7403,5.85
7405,1.55
7409,5.92
7410,5.2
7421,0.72
7424,2.07
7428,2.57
7429,1.79
7500,2.64
7515,1.4
7520,2.64
7538,2.13
7539,1.56
7580,2.96
7600,6.89
7601,3.03
7605,2.48
7607,0.11
7610,0.51
7706,6.82
7707,368.47
7720,2.68
7721,4.09
7722,152.86
7855,3.12
8001,5.49
8004,3.29
8006,3.9
8008,2.13
8010,2.14
8013,1
8015,4.4
8017,2.74
8018,5.34
8019,1.58
8021,8.92
8028,3.93
8031,4.38
8032,5.02
8039,2.83
8041,5.17
8042,2.91
8046,3.57
8057,2.88
8059,3.5
8060,1.6
8061,4.14
8062,1.26
8063,3.64
8064,2.58
8065,2.49
8066,2.38
8071,0.79
8078,1.32
8102,1.88
8106,5.77
8107,2.35
8116,2.17
8117,5.42
8209,6
8215,8.97
8227,4.22
8232,5.74
8267,5.27
8278,292.02
8286,8.31
8290,3.56
8291,4.14
8292,7.03
8293,9.59
8304,7.74
8324,3.03
8350,5.16
8370,1.49
8387,3.19
8388,4.07
8389,2.92
8390,2.93
8391,2.42
8392,3.36
8393,2.35
8397,4.53
8400,1.84
8500,6.19
8601,0.37
8631,8.65
8720,1.69
8729,0.79
8740,1.02
8741,0.14
8742,0.31
8743,0.1
8744,0.31
8745,9.01
8746,0.31
8748,0.56
8749,0.12
8755,0.61
8800,3.41
8801,0.42
8803,0.09
8804,2.61
8806,2.88
8807,0.17
8808,0.39
8810,0.2
8811,0.2
8812,0.2
8813,0.54
8818,0.3
8820,0.18
8821,0.65
8822,0.35
8823,3.42
8827,2.51
8829,2.68
8830,1.37
8831,1.48
8834,0.92
8838,1.04
8839,0.82
8840,0.28
8846,1.25
8847,6.79
8850,1.59
8851,3.15
8852,1.62
8859,0.02
8868,0.66
8870,0.91
8871,0.1
8874,0.05
8875,0.8
9007,3.84
9008,7.07
9009,2.97
9010,4.2
9011,4.01
9015,4.45
9016,3.03
9031,3.5
9033,3.52
9043,1.88
9048,2.19
9050,5.56
9053,1.5
9054,2.97
9058,2.53
9059,1.84
9060,3.63
9061,3.9
9066,3.3
9067,1.39
9069,3.98
9070,4.56
9080,2.53
9081,2.53
9082,2.53
9083,2.53
9084,2.53
9085,3.05
9092,2.07
9095,3.35
9096,8.34
9097,3.08
9101,4.09
9151,0.37
9154,2.09
9155,0.87
9156,3.86
9180,3.62
9181,10.73
9182,1.31
9184,7.75
9185,7.39
9220,5.24
9402,3.83
9403,7.02
9410,0.8
9420,7.97
9422,2.11
9424,4.9
9426,5.79
9501,4.31
9507,3.08
9516,2.32
9519,6.21
9521,4.03
9522,6
9529,5.69
9531,2.95
9549,9.53
9552,12.06
9586,1.16
9610,1.75
9620,4.05
